base_table_name,index_name,class,metric_name,est_provisioned_cost,current_provisioned_cost,ondemand_cost,recommended_mode,current_mode,status,savings_pct,current_cost,recommended_cost,number_of_days,current_min_capacity,simulated_min_capacity,current_max_capacity,simulated_max_capacity,current_target_utilization,simulated_target_utilization,autoscaling_enabled,Note
Movies,,STANDARD,ProvisionedReadCapacityUnits,0.04368,0.0,0.0,Ondemand,Ondemand,Optimized,,0.0,0.0,14,,1.0,,80000.0,,70.0,,"The analysis provided in this script compares your table consumption and simulates cost using different parameters. This tool does not have access to your contextual information, business requirements or organization best practices. When changing your capacity mode from on-demand to provisioned based on the results, remember there were some assumptions made: The analysis window is 14 days and auto-scaling responds instantaneously. (In reality, Auto scaling service might take 4 mins to provision new table capacity depending on your increase conditions)."
Movies,,STANDARD,ProvisionedWriteCapacityUnits,0.21839999999999998,0.0,0.0,Ondemand,Ondemand,Optimized,,0.0,0.0,14,,1.0,,80000.0,,70.0,,"The analysis provided in this script compares your table consumption and simulates cost using different parameters. This tool does not have access to your contextual information, business requirements or organization best practices. When changing your capacity mode from on-demand to provisioned based on the results, remember there were some assumptions made: The analysis window is 14 days and auto-scaling responds instantaneously. (In reality, Auto scaling service might take 4 mins to provision new table capacity depending on your increase conditions)."
Movies-provisioned,,STANDARD_INFREQUENT_ACCESS,ProvisionedReadCapacityUnits,0.05376,0.05376,0.0,Ondemand,Provisioned,Not Optimized,1.0,0.05376,0.0,14,1.0,1.0,40000.0,80000.0,70.0,70.0,True,"The analysis provided in this script compares your table consumption and simulates cost using different parameters. This tool does not have access to your contextual information, business requirements or organization best practices. When changing your capacity mode from on-demand to provisioned based on the results, remember there were some assumptions made: The analysis window is 14 days and auto-scaling responds instantaneously. (In reality, Auto scaling service might take 4 mins to provision new table capacity depending on your increase conditions)."
Movies-provisioned,,STANDARD_INFREQUENT_ACCESS,ProvisionedWriteCapacityUnits,0.27215999999999996,0.27215999999999996,0.0,Ondemand,Provisioned,Not Optimized,1.0,0.27215999999999996,0.0,14,1.0,1.0,40000.0,80000.0,70.0,70.0,True,"The analysis provided in this script compares your table consumption and simulates cost using different parameters. This tool does not have access to your contextual information, business requirements or organization best practices. When changing your capacity mode from on-demand to provisioned based on the results, remember there were some assumptions made: The analysis window is 14 days and auto-scaling responds instantaneously. (In reality, Auto scaling service might take 4 mins to provision new table capacity depending on your increase conditions)."
Movies-provisioned,test-movie-index,STANDARD_INFREQUENT_ACCESS,ProvisionedReadCapacityUnits,0.05376,0.05376,0.0,Ondemand,Provisioned,Not Optimized,1.0,0.05376,0.0,14,1.0,1.0,40000.0,80000.0,70.0,70.0,True,"The analysis provided in this script compares your table consumption and simulates cost using different parameters. This tool does not have access to your contextual information, business requirements or organization best practices. When changing your capacity mode from on-demand to provisioned based on the results, remember there were some assumptions made: The analysis window is 14 days and auto-scaling responds instantaneously. (In reality, Auto scaling service might take 4 mins to provision new table capacity depending on your increase conditions)."
Movies-provisioned,test-movie-index,STANDARD_INFREQUENT_ACCESS,ProvisionedWriteCapacityUnits,0.27215999999999996,5.4432,0.0,Ondemand,Provisioned,Not Optimized,1.0,5.4432,0.0,14,20.0,1.0,40000.0,80000.0,70.0,70.0,True,"The analysis provided in this script compares your table consumption and simulates cost using different parameters. This tool does not have access to your contextual information, business requirements or organization best practices. When changing your capacity mode from on-demand to provisioned based on the results, remember there were some assumptions made: The analysis window is 14 days and auto-scaling responds instantaneously. (In reality, Auto scaling service might take 4 mins to provision new table capacity depending on your increase conditions)."
Movies-provisioned,title-index,STANDARD_INFREQUENT_ACCESS,ProvisionedReadCapacityUnits,0.05376,0.6451200000000001,0.0,Ondemand,Provisioned,Not Optimized,1.0,0.6451200000000001,0.0,14,12.0,1.0,40000.0,80000.0,70.0,70.0,True,"The analysis provided in this script compares your table consumption and simulates cost using different parameters. This tool does not have access to your contextual information, business requirements or organization best practices. When changing your capacity mode from on-demand to provisioned based on the results, remember there were some assumptions made: The analysis window is 14 days and auto-scaling responds instantaneously. (In reality, Auto scaling service might take 4 mins to provision new table capacity depending on your increase conditions)."
Movies-provisioned,title-index,STANDARD_INFREQUENT_ACCESS,ProvisionedWriteCapacityUnits,0.27215999999999996,1.3608,0.0,Ondemand,Provisioned,Not Optimized,1.0,1.3608,0.0,14,5.0,1.0,40000.0,80000.0,70.0,70.0,True,"The analysis provided in this script compares your table consumption and simulates cost using different parameters. This tool does not have access to your contextual information, business requirements or organization best practices. When changing your capacity mode from on-demand to provisioned based on the results, remember there were some assumptions made: The analysis window is 14 days and auto-scaling responds instantaneously. (In reality, Auto scaling service might take 4 mins to provision new table capacity depending on your increase conditions)."
Movies,test-movie-index,STANDARD,ProvisionedReadCapacityUnits,0.04368,0.0,0.0,Ondemand,Ondemand,Optimized,,0.0,0.0,14,,1.0,,80000.0,,70.0,,"The analysis provided in this script compares your table consumption and simulates cost using different parameters. This tool does not have access to your contextual information, business requirements or organization best practices. When changing your capacity mode from on-demand to provisioned based on the results, remember there were some assumptions made: The analysis window is 14 days and auto-scaling responds instantaneously. (In reality, Auto scaling service might take 4 mins to provision new table capacity depending on your increase conditions)."
Movies,test-movie-index,STANDARD,ProvisionedWriteCapacityUnits,0.21839999999999998,0.0,0.0,Ondemand,Ondemand,Optimized,,0.0,0.0,14,,1.0,,80000.0,,70.0,,"The analysis provided in this script compares your table consumption and simulates cost using different parameters. This tool does not have access to your contextual information, business requirements or organization best practices. When changing your capacity mode from on-demand to provisioned based on the results, remember there were some assumptions made: The analysis window is 14 days and auto-scaling responds instantaneously. (In reality, Auto scaling service might take 4 mins to provision new table capacity depending on your increase conditions)."
Movies,title-index,STANDARD,ProvisionedReadCapacityUnits,0.04368,0.0,0.0,Ondemand,Ondemand,Optimized,,0.0,0.0,14,,1.0,,80000.0,,70.0,,"The analysis provided in this script compares your table consumption and simulates cost using different parameters. This tool does not have access to your contextual information, business requirements or organization best practices. When changing your capacity mode from on-demand to provisioned based on the results, remember there were some assumptions made: The analysis window is 14 days and auto-scaling responds instantaneously. (In reality, Auto scaling service might take 4 mins to provision new table capacity depending on your increase conditions)."
Movies,title-index,STANDARD,ProvisionedWriteCapacityUnits,0.21839999999999998,0.0,0.0,Ondemand,Ondemand,Optimized,,0.0,0.0,14,,1.0,,80000.0,,70.0,,"The analysis provided in this script compares your table consumption and simulates cost using different parameters. This tool does not have access to your contextual information, business requirements or organization best practices. When changing your capacity mode from on-demand to provisioned based on the results, remember there were some assumptions made: The analysis window is 14 days and auto-scaling responds instantaneously. (In reality, Auto scaling service might take 4 mins to provision new table capacity depending on your increase conditions)."
SpringClean-XUG3HH5R-SpringCleanDDBTable-PKF5D2JRONZX,,STANDARD,ProvisionedReadCapacityUnits,0.04368,0.0,0.00037,Ondemand,Ondemand,Optimized,,0.00037,0.00037,14,,1.0,,80000.0,,70.0,,"The analysis provided in this script compares your table consumption and simulates cost using different parameters. This tool does not have access to your contextual information, business requirements or organization best practices. When changing your capacity mode from on-demand to provisioned based on the results, remember there were some assumptions made: The analysis window is 14 days and auto-scaling responds instantaneously. (In reality, Auto scaling service might take 4 mins to provision new table capacity depending on your increase conditions)."
SpringClean-XUG3HH5R-SpringCleanDDBTable-PKF5D2JRONZX,,STANDARD,ProvisionedWriteCapacityUnits,0.21839999999999998,0.0,8.5e-05,Ondemand,Ondemand,Optimized,,8.5e-05,8.5e-05,14,,1.0,,80000.0,,70.0,,"The analysis provided in this script compares your table consumption and simulates cost using different parameters. This tool does not have access to your contextual information, business requirements or organization best practices. When changing your capacity mode from on-demand to provisioned based on the results, remember there were some assumptions made: The analysis window is 14 days and auto-scaling responds instantaneously. (In reality, Auto scaling service might take 4 mins to provision new table capacity depending on your increase conditions)."
appt_info,,STANDARD,ProvisionedReadCapacityUnits,0.04368,0.04368,0.0,Ondemand,Provisioned,Not Optimized,1.0,0.04368,0.0,14,1.0,1.0,10.0,80000.0,70.0,70.0,True,"The analysis provided in this script compares your table consumption and simulates cost using different parameters. This tool does not have access to your contextual information, business requirements or organization best practices. When changing your capacity mode from on-demand to provisioned based on the results, remember there were some assumptions made: The analysis window is 14 days and auto-scaling responds instantaneously. (In reality, Auto scaling service might take 4 mins to provision new table capacity depending on your increase conditions)."
appt_info,,STANDARD,ProvisionedWriteCapacityUnits,0.21839999999999998,0.21839999999999998,0.0,Ondemand,Provisioned,Not Optimized,1.0,0.21839999999999998,0.0,14,1.0,1.0,10.0,80000.0,70.0,70.0,True,"The analysis provided in this script compares your table consumption and simulates cost using different parameters. This tool does not have access to your contextual information, business requirements or organization best practices. When changing your capacity mode from on-demand to provisioned based on the results, remember there were some assumptions made: The analysis window is 14 days and auto-scaling responds instantaneously. (In reality, Auto scaling service might take 4 mins to provision new table capacity depending on your increase conditions)."
loadtest-provision-mode,,STANDARD,ProvisionedReadCapacityUnits,0.04368,0.21839999999999998,0.0,Ondemand,Provisioned,Not Optimized,1.0,0.21839999999999998,0.0,14,5.0,1.0,40000.0,80000.0,70.0,70.0,True,"The analysis provided in this script compares your table consumption and simulates cost using different parameters. This tool does not have access to your contextual information, business requirements or organization best practices. When changing your capacity mode from on-demand to provisioned based on the results, remember there were some assumptions made: The analysis window is 14 days and auto-scaling responds instantaneously. (In reality, Auto scaling service might take 4 mins to provision new table capacity depending on your increase conditions)."
loadtest-provision-mode,,STANDARD,ProvisionedWriteCapacityUnits,0.21839999999999998,1.0919999999999999,0.0,Ondemand,Provisioned,Not Optimized,1.0,1.0919999999999999,0.0,14,5.0,1.0,40000.0,80000.0,70.0,70.0,True,"The analysis provided in this script compares your table consumption and simulates cost using different parameters. This tool does not have access to your contextual information, business requirements or organization best practices. When changing your capacity mode from on-demand to provisioned based on the results, remember there were some assumptions made: The analysis window is 14 days and auto-scaling responds instantaneously. (In reality, Auto scaling service might take 4 mins to provision new table capacity depending on your increase conditions)."
